,Prompt,Generated Text,Model Score
0,This movie,"This movie is really bad, which is good to see. There are some good shots, but they are limited in the way the story turns out. It would have been nice to have some of the events that happened a few years back. Some of them are funny, such as when he finds out that the man he kills is a priest. The ending is just stupid, as the priest is able to save the day. If you want a good movie, go and see it, it might make you a better person.<br /><br />It's not as bad as I thought. I'm a big critic of movies, and have watched a lot before, so this is probably one of my favorites. However, the ending doesn't really",-1.6500835418701172
1,This movie,"This movie was a joke, and should be avoided at all costs, if you ever have the chance to see the movie, but you'll probably want to just sit back and watch as many of them as possible -- and enjoy.<br /><br />*SPOILER AHEAD* There's nothing in the first part of this movie which is good enough for you to laugh out loud, even when you're not actually trying to hide from it. After seeing all the jokes, it's too bad there weren't anything funnier. The acting in this film is so amateurish, I can't even remember what they were talking about -- not even one of the actors is in any real sense good! It's just a waste of money.",-2.537609577178955
2,This movie,"This movie, which had some of the best acting I've seen in a while, I can't even begin to describe it enough!! I recommend this film to all my friends and to those in the theater. It is very exciting and there are a few surprises, but not enough to make the film worthwhile. For those who haven't seen it in theaters, please have a look at this review and see if you will like it. If you get a chance to see it for yourself, get yourself a copy, and look it up on IMDb. I have heard that it is out on DVD and I had the pleasure of buying it myself. In my opinion, it's definitely worth seeing, unless you are an avid wrestling fan and have seen",2.0216522216796875
3,This movie,"This movie has some great camera work and some wonderful sound and cinematography. It is great to see it in the theater with a great cast. This is one movie that we are all going to come back to once we get out of this hell. We will definitely love it. I guarantee you, it is a very hard movie to watch and it will probably stay on your mind for much of the time in your life. You will enjoy it a lot. So, stay tuned, and please do not miss out on this special one. And, for all that you do see, be sure to stay up to date about this amazing film. If you want to make a film for your next movie, go ahead and do so! Don't miss",2.4747602939605713
4,This movie,"This movie was very good and I think that the people who made the film were very smart people and they took into consideration what the audience was really going into the movie."" In fact, this movie is definitely one of those movies when a bad movie goes out of control, but it's hard not to be impressed with some good performances by all involved. Not to mention, there are plenty of laughs. <br /><br />8/10 from 9/11Truthout, and it has been said before, that if there ever were a war going on, it would not have been during World War II. I don't agree with this statement. If that is the case then why would we be able to fight the war in Vietnam?<",1.4055297374725342
5,This movie,"This movie is a waste of your time, it makes no sense and doesn't have any of the depth needed for a good horror flick. The only reason I didn't bother to watch this movie was because it was way over the top, you just sit there and watch and not really care what happens. This movie just isn't good at all. I have seen over 1000 horror movies and this is nothing more than a bunch of unoriginal movies that are just going to make you feel as though you were made to look like a moron.<br /><br />The only thing that I found really great about this flick was the music, just like the movie, but they did a very good job of putting it together to give you a sense",-2.4173033237457275
6,This movie,"This movie was so much fun to sit through and watch! I was the only one who was not completely bored with the movie. It had some nice acting by all the actors and the story moved along very well. I must say that while I enjoyed watching the whole movie, it wasn't as intense as some other Sci-Fi Channel shows I've seen. Overall, I thought this was a good show for kids. My 10 year old doesn't like to watch too much Sci Fi stuff and I really don't think this show will make kids happy. This shows are great fun for adults and it's an interesting show. For kids who like watching SciFi stuff, you will enjoy it too! The actors were great! They were all very nice",2.180816173553467
7,This movie,"This movie is so much fun, I didn't feel like there was anything wrong with that. It's so many different things going on, and it's just wonderful. I'm so glad the director and writers of the movie made the decision to bring it to life and make a movie that's really fun to watch! My vote is 7/10 and I just can't wait for the DVD release. The movie has such a great cast of characters that you can feel that this film will make you want to sit down and read about them and talk to your friends. This movie really gave me goosebumps and really touched my heart. There is a lot of great stuff in it, that I don't think is too much to write about,",2.414334774017334
8,This movie,"This movie is a parody of the real thing that you wouldn't really expect from an action movie, let alone a drama. It's not even meant to be a comedy but it is an engaging piece of entertainment. There isn't much to say about the movie other than maybe the acting is pretty good. Don't expect a lot of laughs, but there is something for you. If you haven't seen this movie yet then please don't miss it. I would recommend it only if you're going for a good entertainment experience. Also, I am a die hard sports fan, that might be why I found this one more watchable even though I was a bit disappointed in it's originality. The plot, aside from the fact that the director",0.9808676838874817
9,This movie,"This movie doesn't try to be scary, either. The characters and the plot are good, but the rest of the movie is predictable and flat-out unconvincing. If you're a fan of horror movies and have never been to one of them, don't waste five minutes watching this movie. I'd be remiss if I did.<br /><br />I would love to see a sequel, and if there's one, make it short and sweet. But, sadly, there aren't any sequels out there. Perhaps it would be better if they just gave it a little more attention to make sure it was a good movie while still keeping it interesting. That would still have been a great idea but as far as making a",-2.223611831665039
